date,event_name,count
2026-08-14,signup,133
2026-08-15,signup,123
2026-08-16,signup,145
2026-08-17,signup,121
2026-08-18,signup,128
2026-08-19,signup,134
2026-08-20,signup,154
2026-08-21,signup,135
2026-08-22,signup,141
2026-08-23,signup,143
2026-08-24,signup,131
2026-08-25,signup,127
2026-08-26,signup,127
2026-08-27,signup,136
2026-08-28,signup,136
2026-08-29,signup,128
2026-08-30,signup,127
2026-08-31,signup,127
2026-09-01,signup,134
2026-09-02,signup,134
2026-09-03,signup,121
2026-09-04,signup,106
2026-09-05,signup,138
2026-09-06,signup,118
2026-09-07,signup,118
2026-09-08,signup,119
2026-09-09,signup,124
2026-09-10,signup,120
2026-09-11,signup,111
2026-09-12,signup,95
